"BehaviorSpace results (NetLogo 6.1.1)"
"Dissertation 10k.nlogo"
"experiment"
"08/01/2020 23:28:21:969 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","critically_ill_80+","confine_city_travel?","critically_ill_70-79","infection_duration_avg","fatality_rate_40-49","pop_0-9","metres_per_patch","critically_ill_10-19","pop_60-69","days_before_symptom_showing","mask_penetration_particles","critically_ill_20-29","fatality_rate_70-79","critically_ill_40-49","Total_lockdown?","fatality_rate_10-19","pop_30-39","maximum_infectious_distance","Cities","critically_ill_50-59","fatality_rate_20-29","Weather_conditions","pop_40-49","fatality_rate_80+","Afford_healthcare","critically_ill_0-9","lockdown_delay","social_distancing_metres","pop_80+","infectivity","fatality_rate_50-59","hospital_beds","pop_70-79","Essential_workers","symptomatic_isolation_rate","pop_10-19","use_mask_pop","fatality_rate_60-69","Intracity_traveller","critically_ill_30-39","random_seed_number","pop_20-29","critically_ill_60-69","fatality_rate_30-39","fatality_rate_0-9","pop_50-59","initial_infected_proportion","[step]","100 * count humans with [infected?] / total_population","100 * count humans with [infected? and not feel_symptoms?] / total_population","100 * count humans with [infected? and feel_symptoms?] / total_population","100 * count humans with [light_symptoms?] / total_population","100 * count humans with [severe_symptoms?] / total_population","100 * cumulative_death / total_population","100 * (count humans with [not infected? and not infected_previously?]) / total_population","100 * (count humans with [color = yellow] + count humans with [color = orange]) / total_population","100 * (count humans with [color = turquoise]) / total_population","100 * (cumulative_death) / total_population"
"4","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","30","100","0","100","0","0","0","1","0","0","0","0","0","1","3","1.03","1.03","0","0","0","0","98.97","1.03","0","0"
"2","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","10","100","0","100","0","0","0","1","0","0","0","0","0","1","3","1.01","1.01","0","0","0","0","98.99","1.01","0","0"
"1","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","0","100","0","100","0","0","0","1","0","0","0","0","0","1","2","1.02","1.02","0","0","0","0","98.98","1.02","0","0"
"3","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","20","100","0","100","0","0","0","1","0","0","0","0","0","1","4","1.01","1.01","0","0","0","0","98.99","1.01","0","0"
"5","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","40","100","0","100","0","0","0","1","0","0","0","0","0","1","4","1.03","1.03","0","0","0","0","98.97","1.03","0","0"
"4","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","30","100","0","100","0","0","0","1","0","0","0","0","0","1","4","1.03","1.03","0","0","0","0","98.97","1.03","0","0"
"2","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","10","100","0","100","0","0","0","1","0","0","0","0","0","1","4","1.02","1.02","0","0","0","0","98.98","1.02","0","0"
"1","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","0","100","0","100","0","0","0","1","0","0","0","0","0","1","3","1.02","1.02","0","0","0","0","98.98","1.02","0","0"
"3","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","20","100","0","100","0","0","0","1","0","0","0","0","0","1","5","1.02","1.02","0","0","0","0","98.98","1.02","0","0"
"5","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","40","100","0","100","0","0","0","1","0","0","0","0","0","1","5","1.04","1.04","0","0","0","0","98.96","1.04","0","0"
"4","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","30","100","0","100","0","0","0","1","0","0","0","0","0","1","5","1.03","1.03","0","0","0","0","98.97","1.03","0","0"
"2","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","10","100","0","100","0","0","0","1","0","0","0","0","0","1","5","1.02","1.02","0","0","0","0","98.98","1.02","0","0"
"3","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","20","100","0","100","0","0","0","1","0","0","0","0","0","1","6","1.03","1.03","0","0","0","0","98.97","1.03","0","0"
"1","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","0","100","0","100","0","0","0","1","0","0","0","0","0","1","4","1.03","1.03","0","0","0","0","98.97","1.03","0","0"
"5","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","40","100","0","100","0","0","0","1","0","0","0","0","0","1","6","1.04","1.04","0","0","0","0","98.96","1.04","0","0"
"2","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","10","100","0","100","0","0","0","1","0","0","0","0","0","1","6","1.02","1.02","0","0","0","0","98.98","1.02","0","0"
"4","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","30","100","0","100","0","0","0","1","0","0","0","0","0","1","6","1.05","1.05","0","0","0","0","98.95","1.05","0","0"
"3","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","20","100","0","100","0","0","0","1","0","0","0","0","0","1","7","1.03","1.03","0","0","0","0","98.97","1.03","0","0"
"5","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","40","100","0","100","0","0","0","1","0","0","0","0","0","1","7","1.07","1.07","0","0","0","0","98.93","1.07","0","0"
"1","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","0","100","0","100","0","0","0","1","0","0","0","0","0","1","5","1.03","1.03","0","0","0","0","98.97","1.03","0","0"
"4","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","30","100","0","100","0","0","0","1","0","0","0","0","0","1","7","1.09","1.09","0","0","0","0","98.91","1.09","0","0"
"2","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","10","100","0","100","0","0","0","1","0","0","0","0","0","1","7","1.04","1.04","0","0","0","0","98.96","1.04","0","0"
"3","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","20","100","0","100","0","0","0","1","0","0","0","0","0","1","8","1.04","1.04","0","0","0","0","98.96","1.04","0","0"
"5","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","40","100","0","100","0","0","0","1","0","0","0","0","0","1","8","1.08","1.08","0","0","0","0","98.92","1.08","0","0"
"1","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","0","100","0","100","0","0","0","1","0","0","0","0","0","1","6","1.03","1.03","0","0","0","0","98.97","1.03","0","0"
"2","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","10","100","0","100","0","0","0","1","0","0","0","0","0","1","8","1.04","1.04","0","0","0","0","98.96","1.04","0","0"
"4","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","30","100","0","100","0","0","0","1","0","0","0","0","0","1","8","1.1","1.1","0","0","0","0","98.9","1.1","0","0"
"3","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","20","100","0","100","0","0","0","1","0","0","0","0","0","1","9","1.05","1.05","0","0","0","0","98.95","1.05","0","0"
"5","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","40","100","0","100","0","0","0","1","0","0","0","0","0","1","9","1.08","1.08","0","0","0","0","98.92","1.08","0","0"
"1","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","0","100","0","100","0","0","0","1","0","0","0","0","0","1","7","1.05","1.05","0","0","0","0","98.95","1.05","0","0"
"2","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","10","100","0","100","0","0","0","1","0","0","0","0","0","1","9","1.06","1.06","0","0","0","0","98.94","1.06","0","0"
"4","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","30","100","0","100","0","0","0","1","0","0","0","0","0","1","9","1.1","1.1","0","0","0","0","98.9","1.1","0","0"
"3","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","20","100","0","100","0","0","0","1","0","0","0","0","0","1","10","1.05","1.05","0","0","0","0","98.95","1.05","0","0"
"5","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","40","100","0","100","0","0","0","1","0","0","0","0","0","1","10","1.09","1.09","0","0","0","0","98.91","1.09","0","0"
"1","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","0","100","0","100","0","0","0","1","0","0","0","0","0","1","8","1.05","1.05","0","0","0","0","98.95","1.05","0","0"
"2","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","10","100","0","100","0","0","0","1","0","0","0","0","0","1","10","1.06","1.06","0","0","0","0","98.94","1.06","0","0"
"4","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","30","100","0","100","0","0","0","1","0","0","0","0","0","1","10","1.1","1.1","0","0","0","0","98.9","1.1","0","0"
"3","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","20","100","0","100","0","0","0","1","0","0","0","0","0","1","11","1.05","1.05","0","0","0","0","98.95","1.05","0","0"
"5","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","40","100","0","100","0","0","0","1","0","0","0","0","0","1","11","1.12","1.12","0","0","0","0","98.88","1.12","0","0"
"1","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","0","100","0","100","0","0","0","1","0","0","0","0","0","1","9","1.06","1.06","0","0","0","0","98.94","1.06","0","0"
"2","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","10","100","0","100","0","0","0","1","0","0","0","0","0","1","11","1.09","1.09","0","0","0","0","98.91","1.09","0","0"
"4","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","30","100","0","100","0","0","0","1","0","0","0","0","0","1","11","1.1","1.1","0","0","0","0","98.9","1.1","0","0"
"3","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","20","100","0","100","0","0","0","1","0","0","0","0","0","1","12","1.06","1.06","0","0","0","0","98.94","1.06","0","0"
"5","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","40","100","0","100","0","0","0","1","0","0","0","0","0","1","12","1.12","1.12","0","0","0","0","98.88","1.12","0","0"
"2","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","10","100","0","100","0","0","0","1","0","0","0","0","0","1","12","1.09","1.09","0","0","0","0","98.91","1.09","0","0"
"1","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","0","100","0","100","0","0","0","1","0","0","0","0","0","1","10","1.07","1.07","0","0","0","0","98.93","1.07","0","0"
"4","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","30","100","0","100","0","0","0","1","0","0","0","0","0","1","12","1.1","1.1","0","0","0","0","98.9","1.1","0","0"
"3","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","20","100","0","100","0","0","0","1","0","0","0","0","0","1","13","1.06","1.06","0","0","0","0","98.94","1.06","0","0"
"5","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","40","100","0","100","0","0","0","1","0","0","0","0","0","1","13","1.13","1.13","0","0","0","0","98.87","1.13","0","0"
"2","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","10","100","0","100","0","0","0","1","0","0","0","0","0","1","13","1.1","1.1","0","0","0","0","98.9","1.1","0","0"
"1","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","0","100","0","100","0","0","0","1","0","0","0","0","0","1","11","1.08","1.08","0","0","0","0","98.92","1.08","0","0"
"3","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","20","100","0","100","0","0","0","1","0","0","0","0","0","1","14","1.07","1.07","0","0","0","0","98.93","1.07","0","0"
"4","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","30","100","0","100","0","0","0","1","0","0","0","0","0","1","13","1.1","1.1","0","0","0","0","98.9","1.1","0","0"
"5","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","40","100","0","100","0","0","0","1","0","0","0","0","0","1","14","1.14","1.14","0","0","0","0","98.86","1.14","0","0"
"2","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","10","100","0","100","0","0","0","1","0","0","0","0","0","1","14","1.11","1.11","0","0","0","0","98.89","1.11","0","0"
"1","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","0","100","0","100","0","0","0","1","0","0","0","0","0","1","12","1.11","1.11","0","0","0","0","98.89","1.11","0","0"
"3","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","20","100","0","100","0","0","0","1","0","0","0","0","0","1","15","1.07","1.07","0","0","0","0","98.93","1.07","0","0"
"4","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","30","100","0","100","0","0","0","1","0","0","0","0","0","1","14","1.1","1.1","0","0","0","0","98.9","1.1","0","0"
"2","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","10","100","0","100","0","0","0","1","0","0","0","0","0","1","15","1.11","1.11","0","0","0","0","98.89","1.11","0","0"
"5","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","40","100","0","100","0","0","0","1","0","0","0","0","0","1","15","1.16","1.16","0","0","0","0","98.84","1.16","0","0"
"1","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","0","100","0","100","0","0","0","1","0","0","0","0","0","1","13","1.12","1.12","0","0","0","0","98.88","1.12","0","0"
"3","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","20","100","0","100","0","0","0","1","0","0","0","0","0","1","16","1.07","1.07","0","0","0","0","98.93","1.07","0","0"
"4","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","30","100","0","100","0","0","0","1","0","0","0","0","0","1","15","1.1","1.1","0","0","0","0","98.9","1.1","0","0"
"2","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","10","100","0","100","0","0","0","1","0","0","0","0","0","1","16","1.13","1.13","0","0","0","0","98.87","1.13","0","0"
"5","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","40","100","0","100","0","0","0","1","0","0","0","0","0","1","16","1.17","1.17","0","0","0","0","98.83","1.17","0","0"
"1","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","0","100","0","100","0","0","0","1","0","0","0","0","0","1","14","1.14","1.14","0","0","0","0","98.86","1.14","0","0"
"3","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","20","100","0","100","0","0","0","1","0","0","0","0","0","1","17","1.08","1.08","0","0","0","0","98.92","1.08","0","0"
"4","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","30","100","0","100","0","0","0","1","0","0","0","0","0","1","16","1.1","1.1","0","0","0","0","98.9","1.1","0","0"
"2","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","10","100","0","100","0","0","0","1","0","0","0","0","0","1","17","1.14","1.14","0","0","0","0","98.86","1.14","0","0"
"5","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","40","100","0","100","0","0","0","1","0","0","0","0","0","1","17","1.17","1.17","0","0","0","0","98.83","1.17","0","0"
"4","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","30","100","0","100","0","0","0","1","0","0","0","0","0","1","17","1.11","1.11","0","0","0","0","98.89","1.11","0","0"
"3","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","20","100","0","100","0","0","0","1","0","0","0","0","0","1","18","1.09","1.09","0","0","0","0","98.91","1.09","0","0"
"1","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","0","100","0","100","0","0","0","1","0","0","0","0","0","1","15","1.14","1.14","0","0","0","0","98.86","1.14","0","0"
"2","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","10","100","0","100","0","0","0","1","0","0","0","0","0","1","18","1.16","1.16","0","0","0","0","98.84","1.16","0","0"
"5","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","40","100","0","100","0","0","0","1","0","0","0","0","0","1","18","1.18","1.18","0","0","0","0","98.82","1.18","0","0"
"3","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","20","100","0","100","0","0","0","1","0","0","0","0","0","1","19","1.11","1.11","0","0","0","0","98.89","1.11","0","0"
"4","0","false","0","21","50","0","40","0","0","6","56","0","0","50","true","0","0","2","16","0","0","Cold + Humid","10000","0","100","0","7","2","0","100","0","0","0","30","100","0","100","0","0","0","1","0","0","0","0","0","1","18","1.11","1.11","0","0","0","0","98.89","1.11","0","0"
